id,weight,zone,airmail_price,SAL_price,surface_price,created_at,last_modified
97,8500,3,15400,11500,6200,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
98,9000,3,16150,11500,6200,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
99,9500,3,16900,12550,6750,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
100,10000,3,17650,12550,6750,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
101,11000,3,18600,13250,7100,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
102,12000,3,19550,13950,7450,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
103,13000,3,20500,14650,7800,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
104,14000,3,21450,15350,8150,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
105,15000,3,22400,16050,8500,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
106,16000,3,23350,16750,8850,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
107,17000,3,24300,17450,9200,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
108,18000,3,25250,18150,9550,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
109,19000,3,26200,18850,9900,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
110,20000,3,27150,19550,10250,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
111,21000,3,28100,20250,10600,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
112,22000,3,29050,20950,10950,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
113,23000,3,30000,21650,11300,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
114,24000,3,30950,22350,11650,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
115,25000,3,31900,23050,12000,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
116,26000,3,32850,23750,12350,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
117,27000,3,33800,24450,12700,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
118,28000,3,34750,25150,13050,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
119,29000,3,35700,25850,13400,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
120,30000,3,36650,26550,13750,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
121,500,4,3200,3400,2200,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
122,1000,4,4600,3400,2200,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
123,1500,4,6000,5000,2650,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
124,2000,4,7400,5000,2650,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
125,2500,4,8800,6600,3100,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
126,3000,4,10200,6600,3100,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
127,3500,4,11600,8200,3550,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
128,4000,4,13000,8200,3550,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
129,4500,4,14400,9800,4000,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
130,5000,4,15800,9800,4000,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
131,5500,4,17000,11250,4450,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
132,6000,4,18200,11250,4450,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
133,6500,4,19400,12700,4900,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
134,7000,4,20600,12700,4900,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
135,7500,4,21800,14150,5350,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
136,8000,4,23000,14150,5350,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
137,8500,4,24200,15600,5800,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
