id,weight,zone,price,created_at,last_modified
117,21000,2-2,30900,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
118,22000,2-2,32200,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
119,23000,2-2,33500,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
120,24000,2-2,34800,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
121,25000,2-2,36100,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
122,26000,2-2,37400,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
123,27000,2-2,38700,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
124,28000,2-2,40000,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
125,29000,2-2,41300,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
126,30000,2-2,42600,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
127,500,3,2400,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
128,600,3,2740,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
129,700,3,3080,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
130,800,3,3420,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
131,900,3,3760,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
132,1000,3,4100,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
133,1250,3,4900,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
134,1500,3,5700,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
135,1750,3,6500,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
136,2000,3,7300,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
137,2500,3,8800,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
138,3000,3,10300,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
139,3500,3,11800,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
140,4000,3,13300,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
141,4500,3,14800,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
142,5000,3,16300,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
143,5500,3,17800,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
144,6000,3,19300,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
